,level_0,Unnamed: 0,index,uid,date,time,secchi,lat,lon,Provider,blue,green,red,pan,nir,swir16,swir22,Image_name,predicted
32,32,32,101,Daniel_27743_XHG4755,20/05/09,10:23:00,1.0,39.0779,-76.24163,CHESEAPEK_BAY,0.00325441,0.00825025,0.004538117,0.006115447,0.003232661,0.000955967,0.000505456,LE07_L1TP_015033_20090520_20160917_01_T1,1.6753616333007812
33,33,33,102,Daniel_22588_CB3.2,11/05/17,08:55:00,0.9,39.16369,-76.30631,CHESEAPEK_BAY,0.010963997,0.01768338,0.016093226,0.014586277,0.008094162,0.003041285,0.003358314,LE07_L1TP_015033_20170510_20170605_01_T1,0.5430623292922974
34,34,34,103,Daniel_17047_CB3.1,15/11/01,08:08:00,1.0,39.2495,-76.2405,CHESEAPEK_BAY,0.009103829,0.01281815,0.009312652,0.010125089,0.002332881,0.000546057,0.000224693,LE07_L1TP_014033_20011115_20160929_01_T1,1.813252329826355
35,35,35,119,Daniel_112330_RET2.4,08/03/11,08:20:00,0.5,38.3626,-76.99063,EOTB,0.011315872,0.0188524,0.016464904,0.014633692,0.007593791,0.003593843,0.004128614,LE07_L1TP_015033_20110307_20160913_01_T1,0.46896952390670776
36,36,36,128,Daniel_47273_TF2.1,08/09/20,09:57:00,0.7,38.70664,-77.04876,CHESEAPEK_BAY,0.004942193,0.011923753,0.008920078,0.009403873,0.005460427,-0.00029652,-0.000299525,LE07_L1TP_015033_20200907_20201003_01_T1,0.4884265661239624
37,37,37,137,Daniel_43407_LE1.1,07/03/19,10:43:00,0.4,38.42535,-76.60176,CHESEAPEK_BAY,0.008884227,0.014666553,0.01013271,0.009641822,0.003805572,0.00135052,0.001051369,LE07_L1TP_014033_20190306_20190402_01_T1,0.8975332975387573
38,38,38,145,Daniel_88670_CB4.1W,11/09/01,14:26:00,1.6,38.81498,-76.46272,EOTB,0.004738521,0.007016062,0.004322295,0.005150462,0.001250129,0.000151349,0.000489585,LE07_L1TP_014033_20010912_20160930_01_T1,2.4369003772735596
39,39,39,146,Daniel_58684_CB5.4,21/01/21,12:57:00,1.0,37.80013,-76.17466,CHESEAPEK_BAY,0.005410247,0.0076607,0.004460349,0.005810552,0.001761046,0.000947365,-0.000273379,LE07_L1TP_014034_20210122_20210217_01_T1,2.592130661010742
40,40,40,148,Daniel_38639_EE2.2,03/06/14,09:58:00,1.4,38.52609,-76.30408,CHESEAPEK_BAY,0.004607714,0.008255852,0.003946282,0.006289903,0.001513279,-0.000448713,0.000481899,LE07_L1TP_015033_20140603_20160906_01_T1,3.1240952014923096
41,41,41,149,Daniel_125095_NLD00121,11/06/14,22:00:00,2.2,51.71462,3.99933,BAFG,0.003643343,0.004661555,0.003426105,0.005479498,0.005008341,0.001113605,0.000977714,LE07_L1TP_199024_20140612_20161114_01_T1,3.215569496154785
42,42,42,163,Daniel_64741_CB6.4,14/08/02,15:24:00,1.9,37.23653,-76.20799,CHESEAPEK_BAY,0.010911599,0.01138413,0.007548872,0.009332466,0.006022202,0.002651118,0.002648802,LE07_L1TP_014034_20020814_20160929_01_T1,3.034409999847412
43,43,43,173,Daniel_99094_TF2.1,24/08/09,12:10:00,0.7,38.70664,-77.04876,EOTB,0.007217093,0.012534195,0.00851781,0.010843281,0.006702054,-0.001793979,-0.001589538,LE07_L1TP_015033_20090824_20160917_01_T1,0.9915124177932739
44,44,44,180,Daniel_110206_LE2.2,05/10/09,10:31:00,1.8,38.1576,-76.598,EOTB,0.004612698,0.007271634,0.004617872,0.006079416,0.003364329,0.000308787,0.00098088,LE07_L1TP_014034_20091004_20160916_01_T1,2.205061435699463
45,45,45,181,Daniel_94218_CB5.1,15/10/07,12:36:00,1.6,38.3187,-76.29215,EOTB,0.005079871,0.006097897,0.003375995,0.006121584,0.003934868,0.002606427,0.002430074,LE07_L1TP_014033_20071015_20160919_01_T1,3.539419651031494
46,46,46,182,Daniel_56801_CB5.3,15/09/14,10:18:00,1.7,37.91011,-76.17137,CHESEAPEK_BAY,0.003393755,0.004809695,0.002549162,0.004355818,0.001523546,0.000685671,0.000414761,LE07_L1TP_014034_20140916_20160905_01_T1,3.274477243423462
47,47,47,195,Daniel_74672_CHE019.38,12/09/07,07:38:00,0.8,37.21722,-76.39222,CHESEAPEK_BAY,0.015464102,0.020709438,0.013941448,0.014179232,0.006189885,0.002491177,0.001317352,LE07_L1TP_014034_20070913_20160919_01_T1,0.780925989151001
48,48,48,205,Daniel_59863_CB7.1S,19/02/02,12:22:00,2.2,37.58124,-76.05799,CHESEAPEK_BAY,0.012058472,0.013472449,0.005716026,0.006905595,0.002281461,0.000775457,-0.000121384,LE07_L1TP_014034_20020219_20160929_01_T1,2.281219482421875
49,49,49,207,Daniel_15535_CB4.2W,28/04/09,10:31:00,1.0,38.64354,-76.50217,CHESEAPEK_BAY,0.002494915,0.006483333,0.002231796,0.004325198,0.001468875,0.000624688,0.001364476,LE07_L1TP_014033_20090427_20160917_01_T1,2.376005172729492
50,50,50,211,Daniel_74111_WE4.4,07/12/09,15:42:00,1.4,37.11015,-76.293,CHESEAPEK_BAY,0.008102272,0.012329631,0.00594536,0.007334976,0.002941991,0.000427525,0.00090521,LE07_L1TP_014034_20091207_20160916_01_T1,2.5228500366210938
51,51,51,212,Daniel_69672_LE3.2,08/02/01,08:50:00,1.5,37.66914,-76.55047,CHESEAPEK_BAY,0.004912027,0.009104392,0.004402356,0.005962055,0.002101451,-1.92e-05,0.000491865,LE07_L1TP_015034_20010207_20161002_01_T1,2.865117073059082
52,52,52,217,Daniel_97434_EE3.1,14/02/06,11:36:00,0.4,38.19685,-75.97321,EOTB,0.011422024,0.019506838,0.016542435,0.013495615,0.003307987,-0.001313011,-0.000702031,LE07_L1TP_014033_20060214_20160923_01_T1,0.46569228172302246
53,53,53,218,Daniel_15516_CB3.1,14/01/04,09:12:00,0.3,39.2495,-76.2405,CHESEAPEK_BAY,0.015522773,0.026480318,0.024125875,0.019536465,0.005907131,0.001066135,0.000484518,LE07_L1TP_015033_20040115_20160926_01_T1,0.2780623137950897
54,54,54,219,Daniel_49021_TF2.4,06/02/12,11:15:00,0.5,38.5301,-77.2654,CHESEAPEK_BAY,0.009584219,0.017714858,0.01721605,0.012396052,0.003356001,-0.000533287,0.000118613,LE07_L1TP_015033_20120206_20160912_01_T1,0.5322955846786499
